company,netflix
,
行标签,计数项:location
none,248
"Los Gatos, CA",244
"Hillsboro, OR",107
"Salt Lake City, UT",58
"Los Angeles, CA",27
"Beverly Hills, CA",21
Amsterdam (Netherlands),8
"Portland, OR",6
"San Jose, CA",6
"Beaverton, OR",5
"Fremont, CA",5
"Frisco, TX",4
"Denver, CO",4
"Farmington Hills, MI",4
"Las Vegas, NV",4
"Santa Clara, CA",3
"Aurora, CO",2
"Lansing, MI",2
"New York, NY",2
"San Francisco, CA",2
"Phoenix, AZ",2
"Santa Ana, CA",2
"Fort Lauderdale, FL",2
Singapore (Singapore),2
"Richmond, VA",2
"Worcester, MA",2
"Lindenwold, NJ",1
"Columbus, OH",1
"Colorado Springs, CO",1
"London, CA",1
"Santa Monica, CA",1
"London, England (UK)",1
"Redmond, WA",1
Berlin (Germany),1
"Gilroy, CA",1
"Venice, CA",1
"Dallas, TX",1
"Southfield, MI",1
"Burbank, CA",1
"Sunnyvale, CA",1
"Clearwater, FL",1
"Boise, ID",1
"Redwood City, CA",1
"Naperville, IL",1
"Saint Louis, MO",1
Chiang Mai (Thailand),1
"Grove City, OH",1
"Anaheim, CA",1
"Hollywood, CA",1
"Norcross, GA",1
"Santa Clarita, CA",1
"North Las Vegas, NV",1
Sartrouville (France),1
"Panama City, FL",1
"South Portland, ME",1
"Chicago, IL",1
"Pittsburgh, PA",1
"Tampa, FL",1
"Michigantown, IN",1
"Morgan Hill, CA",1
"Anchorage, AK",1
Madrid (Spain),1
总计,810